frame,x,y,speed_mps
187,0.0000,7.8508,0.000024
188,0.0000,7.8485,0.000061
189,0.0000,7.8483,0.000006
190,0.0000,7.8443,0.000109
191,0.0000,7.8378,0.000174
192,0.0000,7.8334,0.000118
193,0.0000,7.8316,0.000050
194,0.0000,7.8322,0.000015
195,0.0000,7.8304,0.000046
196,0.0000,7.8283,0.000058
197,0.0000,7.8290,0.000019
198,0.0000,7.8284,0.000015
199,0.0000,7.8275,0.000024
200,0.0000,7.8269,0.000018
201,0.0000,7.8275,0.000018
202,0.0000,7.8260,0.000042
203,0.0000,7.8263,0.000008
204,0.0000,7.8258,0.000014
205,0.0000,7.8240,0.000048
206,0.0000,7.8231,0.000024
207,0.0000,7.8243,0.000031
208,0.0000,7.8264,0.000057
209,0.0000,7.8245,0.000052
210,0.0000,7.8225,0.000052
211,0.0000,7.8180,0.000121
212,0.0000,7.8121,0.000161
213,0.0000,7.8047,0.000199
214,0.0000,7.8033,0.000039
215,0.0000,7.8010,0.000062
216,0.0000,7.7993,0.000045
217,0.0000,7.7994,0.000002
218,0.0000,7.8023,0.000079
219,0.0000,7.8031,0.000020
220,0.0000,7.8050,0.000053
221,0.0000,7.8090,0.000107
222,0.0000,7.8128,0.000103
223,0.0000,7.8114,0.000038
224,0.0000,7.8096,0.000048
225,0.0000,7.8115,0.000051
226,0.0000,7.8187,0.000192
227,0.0000,7.8273,0.000234
228,0.0000,7.8406,0.000357
229,0.0000,7.8535,0.000349
230,0.0000,7.8629,0.000254
231,0.0000,7.8642,0.000035
232,0.0000,7.8656,0.000037
233,0.0000,7.8640,0.000043
234,0.0000,7.8596,0.000119
235,0.0000,7.8511,0.000229
236,0.0000,7.8434,0.000207
237,0.0000,7.8327,0.000288
238,0.0000,7.8226,0.000273
239,0.0000,7.8139,0.000233
