frame,x,y,speed_mps
163,0.0000,1.8286,0.000027
164,0.0000,1.8292,0.000016
165,0.0000,1.8292,0.000000
166,0.0000,1.8284,0.000022
167,0.0000,1.8281,0.000009
168,0.0000,1.8259,0.000060
169,0.0000,1.8230,0.000077
170,0.0000,1.8196,0.000094
171,0.0000,1.8160,0.000096
172,0.0000,1.8122,0.000103
173,0.0000,1.8099,0.000061
174,0.0000,1.8080,0.000052
175,0.0000,1.8070,0.000027
176,0.0000,1.8077,0.000021
177,0.0000,1.8096,0.000050
178,0.0000,1.8126,0.000081
179,0.0000,1.8163,0.000101
180,0.0000,1.8206,0.000116
181,0.0000,1.8236,0.000081
182,0.0000,1.8253,0.000044
183,0.0000,1.8256,0.000009
184,0.0000,1.8254,0.000006
185,0.0000,1.8250,0.000011
186,0.0000,1.8245,0.000012
187,0.0000,1.8245,0.000001
188,0.0000,1.8251,0.000015
189,0.0000,1.8256,0.000014
190,0.0000,1.8254,0.000005
191,0.0000,1.8252,0.000005
192,0.0000,1.8254,0.000004
193,0.0000,1.8251,0.000009
194,0.0000,1.8248,0.000007
195,0.0000,1.8245,0.000010
196,0.0000,1.8242,0.000007
197,0.0000,1.8245,0.000007
198,0.0000,1.8242,0.000006
199,0.0000,1.8238,0.000013
200,0.0000,1.8229,0.000022
201,0.0000,1.8222,0.000020
202,0.0000,1.8208,0.000038
203,0.0000,1.8191,0.000045
204,0.0000,1.8175,0.000043
205,0.0000,1.8163,0.000032
206,0.0000,1.8147,0.000043
207,0.0000,1.8134,0.000036
208,0.0000,1.8134,0.000001
209,0.0000,1.8140,0.000018
210,0.0000,1.8150,0.000026
211,0.0000,1.8168,0.000050
212,0.0000,1.8182,0.000039
213,0.0000,1.8193,0.000029
214,0.0000,1.8198,0.000014
215,0.0000,1.8204,0.000016
216,0.0000,1.8209,0.000013
217,0.0000,1.8216,0.000018
218,0.0000,1.8221,0.000013
219,0.0000,1.8230,0.000025
220,0.0000,1.8239,0.000024
221,0.0000,1.8248,0.000024
222,0.0000,1.8250,0.000005
223,0.0000,1.8250,0.000001
224,0.0000,1.8248,0.000006
225,0.0000,1.8247,0.000002
226,0.0000,1.8241,0.000016
227,0.0000,1.8240,0.000003
228,0.0000,1.8233,0.000018
229,0.0000,1.8223,0.000029
230,0.0000,1.8205,0.000047
231,0.0000,1.8188,0.000048
232,0.0000,1.8173,0.000040
233,0.0000,1.8173,0.000001
234,0.0000,1.8176,0.000011
235,0.0000,1.8181,0.000013
236,0.0000,1.8188,0.000018
237,0.0000,1.8197,0.000023
238,0.0000,1.8198,0.000002
239,0.0000,1.8201,0.000009
