epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,700.484,1.64227,1.52077,1.36283,0.76286,0.66029,0.73831,0.39783,1.45607,1.18507,1.32958,0.00132868,0.00132868,0.00132868
43,717.055,1.62658,1.52855,1.37232,0.71198,0.64192,0.72264,0.38746,1.42614,1.1174,1.3285,0.00132043,0.00132043,0.00132043
44,733.314,1.62751,1.48628,1.35753,0.69552,0.70406,0.73994,0.38915,1.41995,1.11549,1.31001,0.00131218,0.00131218,0.00131218
45,749.49,1.61043,1.47306,1.36302,0.79173,0.59888,0.72768,0.38406,1.41475,1.0871,1.32833,0.00130393,0.00130393,0.00130393
46,765.669,1.60674,1.50391,1.36583,0.77735,0.70623,0.75993,0.40409,1.37416,1.08244,1.28628,0.00129568,0.00129568,0.00129568
47,782.014,1.61247,1.47297,1.37094,0.77461,0.65055,0.73033,0.38226,1.46642,1.17828,1.31928,0.00128742,0.00128742,0.00128742
48,798.174,1.61226,1.47605,1.34949,0.82764,0.6556,0.7712,0.39597,1.45111,1.05049,1.3384,0.00127917,0.00127917,0.00127917
49,814.355,1.58029,1.42549,1.33105,0.78196,0.68975,0.76363,0.40918,1.38472,1.07168,1.297,0.00127092,0.00127092,0.00127092
50,830.789,1.56786,1.43488,1.34152,0.7682,0.66163,0.77414,0.38979,1.45698,1.10114,1.3393,0.00126267,0.00126267,0.00126267
51,847.228,1.55072,1.44527,1.33126,0.81481,0.70142,0.78534,0.42516,1.36023,1.02238,1.27004,0.00125442,0.00125442,0.00125442
52,864.42,1.52789,1.35604,1.31364,0.78976,0.68868,0.80155,0.43069,1.40352,0.99279,1.27014,0.00124617,0.00124617,0.00124617
53,881.011,1.5418,1.37762,1.33353,0.8511,0.63084,0.78701,0.40782,1.41357,1.0177,1.28876,0.00123791,0.00123791,0.00123791
54,897.316,1.50932,1.34831,1.29906,0.7305,0.72411,0.78028,0.39766,1.46622,1.04762,1.35861,0.00122966,0.00122966,0.00122966
55,913.515,1.54554,1.34904,1.31025,0.81843,0.68314,0.78008,0.41399,1.38241,1.03419,1.27477,0.00122141,0.00122141,0.00122141
56,929.704,1.50191,1.32501,1.28747,0.7882,0.67526,0.75691,0.40506,1.38055,0.98664,1.28722,0.00121316,0.00121316,0.00121316
57,945.9,1.50502,1.34012,1.30689,0.83638,0.66919,0.78318,0.42788,1.36321,0.9801,1.26079,0.00120491,0.00120491,0.00120491
58,962.058,1.52434,1.36508,1.30319,0.76403,0.69012,0.77495,0.41132,1.40666,1.04036,1.30798,0.00119666,0.00119666,0.00119666
59,978.376,1.53142,1.34835,1.30809,0.81254,0.70008,0.77414,0.41656,1.34845,1.0067,1.25477,0.0011884,0.0011884,0.0011884
60,994.724,1.50291,1.35552,1.29633,0.81819,0.68987,0.81146,0.44019,1.33265,0.92826,1.26522,0.00118015,0.00118015,0.00118015
61,1011.48,1.51593,1.28981,1.29303,0.83085,0.68775,0.81541,0.43502,1.39964,0.93083,1.30239,0.0011719,0.0011719,0.0011719
62,1028.14,1.49643,1.28488,1.28794,0.86026,0.68879,0.80666,0.45458,1.3142,0.91803,1.22354,0.00116365,0.00116365,0.00116365
63,1044.59,1.50403,1.32089,1.28644,0.80901,0.6847,0.79209,0.42277,1.29086,0.95009,1.2439,0.0011554,0.0011554,0.0011554
64,1060.79,1.47824,1.26127,1.2738,0.8201,0.71249,0.80846,0.45037,1.28266,0.88999,1.20376,0.00114715,0.00114715,0.00114715
65,1077.54,1.46711,1.25879,1.25603,0.79972,0.70755,0.79427,0.43275,1.364,0.92801,1.24276,0.00113889,0.00113889,0.00113889
66,1094.58,1.44909,1.25671,1.27065,0.79696,0.70035,0.80059,0.44761,1.31668,0.91882,1.24435,0.00113064,0.00113064,0.00113064
67,1110.9,1.46256,1.23738,1.26053,0.78091,0.73765,0.8106,0.44808,1.29765,0.88957,1.22016,0.00112239,0.00112239,0.00112239
68,1127.52,1.45658,1.23348,1.26911,0.85448,0.70213,0.79541,0.4455,1.29746,0.86023,1.21773,0.00111414,0.00111414,0.00111414
69,1144.15,1.44848,1.2302,1.26252,0.84916,0.68691,0.8212,0.45577,1.31303,0.86702,1.2286,0.00110589,0.00110589,0.00110589
70,1160.92,1.40702,1.18677,1.24552,0.8079,0.69809,0.80906,0.47317,1.26275,0.85129,1.20941,0.00109764,0.00109764,0.00109764
71,1177.36,1.41572,1.21143,1.23839,0.85682,0.70535,0.80296,0.45113,1.25837,0.84663,1.20698,0.00108938,0.00108938,0.00108938
