epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
174,2975.32,1.04021,0.75466,1.03702,0.86629,0.79609,0.8764,0.57176,0.92556,0.57033,1.05631,0.000239465,0.000239465,0.000239465
175,2993.16,1.03286,0.74984,1.032,0.86856,0.78832,0.86954,0.56602,0.92949,0.5707,1.05712,0.000231213,0.000231213,0.000231213
176,3010.97,1.01261,0.74141,1.02027,0.87985,0.79528,0.87371,0.57133,0.93366,0.5655,1.05316,0.000222961,0.000222961,0.000222961
177,3028.79,1.04061,0.75973,1.03427,0.85801,0.80652,0.87573,0.56806,0.9302,0.57078,1.04268,0.00021471,0.00021471,0.00021471
178,3046.61,1.02615,0.75201,1.03346,0.85685,0.80281,0.87566,0.5764,0.92025,0.57207,1.03441,0.000206458,0.000206458,0.000206458
179,3064.53,1.01377,0.75213,1.02504,0.85833,0.79642,0.87245,0.57266,0.9164,0.57327,1.03402,0.000198206,0.000198206,0.000198206
180,3082.47,1.03364,0.7447,1.04008,0.86393,0.80852,0.87489,0.56975,0.91641,0.56789,1.03818,0.000189955,0.000189955,0.000189955
181,3100.27,1.02972,0.75841,1.02975,0.86619,0.80601,0.87308,0.57284,0.91869,0.57063,1.04016,0.000181703,0.000181703,0.000181703
182,3118.13,1.01925,0.74748,1.01388,0.84568,0.81145,0.87106,0.57397,0.91664,0.56844,1.04154,0.000173451,0.000173451,0.000173451
183,3136,1.03403,0.77015,1.02262,0.8349,0.8064,0.86298,0.57306,0.91195,0.56568,1.04528,0.0001652,0.0001652,0.0001652
184,3153.88,0.99291,0.72952,1.01675,0.83922,0.79517,0.86599,0.57347,0.91306,0.56542,1.04349,0.000156948,0.000156948,0.000156948
185,3172.21,0.99689,0.74194,1.02546,0.8419,0.80656,0.86893,0.57068,0.91194,0.56353,1.04733,0.000148696,0.000148696,0.000148696
186,3190.12,1.00518,0.72936,1.02553,0.86239,0.7999,0.87429,0.57086,0.91226,0.56538,1.04651,0.000140445,0.000140445,0.000140445
187,3207.97,1.01489,0.74341,1.01104,0.84963,0.80907,0.87493,0.57327,0.90774,0.56909,1.0433,0.000132193,0.000132193,0.000132193
188,3225.84,1.00654,0.73483,1.02779,0.83688,0.81662,0.87296,0.57404,0.90547,0.56477,1.04378,0.000123941,0.000123941,0.000123941
189,3243.75,0.97096,0.71284,1.00614,0.85093,0.82079,0.87808,0.57543,0.90557,0.55874,1.04593,0.00011569,0.00011569,0.00011569
190,3261.62,0.98723,0.72047,1.02005,0.85935,0.80488,0.87686,0.57473,0.90587,0.56026,1.04599,0.000107438,0.000107438,0.000107438
191,3281.15,1.03045,0.67279,1.03219,0.85849,0.80468,0.87519,0.57376,0.91291,0.55757,1.0422,9.91865e-05,9.91865e-05,9.91865e-05
192,3299.75,1.01418,0.65929,1.01667,0.86054,0.80387,0.87924,0.569,0.91719,0.55951,1.04597,9.09349e-05,9.09349e-05,9.09349e-05
193,3318.41,1.0202,0.65683,1.02115,0.84,0.81133,0.87436,0.57064,0.92138,0.56011,1.05051,8.26832e-05,8.26832e-05,8.26832e-05
194,3337.03,0.99362,0.63928,1.00429,0.84004,0.81107,0.87463,0.57703,0.91944,0.56187,1.0521,7.44316e-05,7.44316e-05,7.44316e-05
195,3355.57,0.99669,0.64089,1.01596,0.84585,0.81197,0.86965,0.57383,0.92198,0.55641,1.05374,6.61799e-05,6.61799e-05,6.61799e-05
196,3374.3,0.99184,0.64192,1.02061,0.83856,0.81269,0.87037,0.57521,0.91986,0.55661,1.05368,5.79283e-05,5.79283e-05,5.79283e-05
197,3392.88,0.98165,0.62794,1.00522,0.84132,0.81145,0.86972,0.57636,0.91604,0.55525,1.05412,4.96766e-05,4.96766e-05,4.96766e-05
198,3411.21,0.97544,0.64095,1.00486,0.85421,0.80652,0.87082,0.5732,0.91794,0.55489,1.05709,4.1425e-05,4.1425e-05,4.1425e-05
199,3429.51,0.97208,0.62559,1.00255,0.85417,0.81169,0.87386,0.57411,0.91782,0.55384,1.05819,3.31733e-05,3.31733e-05,3.31733e-05
200,3447.8,0.98329,0.63646,0.99802,0.85928,0.81169,0.87657,0.57489,0.91726,0.55284,1.05792,2.49217e-05,2.49217e-05,2.49217e-05
